name,,,mos
1-1-3-submit-00000-crop,,,4.4
1-1-3-submit-73479-crop,,,2.2
1-1-3-submit-73549-crop,,,3.6
1-1-3-submit-74734-crop,,,3.6
1-1-3-submit-74766-crop,,,1
1-1-3-submit-75090-crop,,,2.4
1-2-2-submit-00000-crop,,,4.2
1-2-2-submit-73479-crop,,,2.4
1-2-2-submit-73549-crop,,,3.4
1-2-2-submit-74734-crop,,,3
1-2-2-submit-74766-crop,,,2
1-2-2-submit-75090-crop,,,2.8
2-1-4-submit-00000-crop,,,4.2
2-1-4-submit-73479-crop,,,2.6
2-1-4-submit-73549-crop,,,3.4
2-1-4-submit-74734-crop,,,3.2
2-1-4-submit-74766-crop,,,1.8
2-1-4-submit-75090-crop,,,2.8
2-2-1-submit-00000-crop,,,3.4
2-2-1-submit-73479-crop,,,2.6
2-2-1-submit-73549-crop,,,4
2-2-1-submit-74734-crop,,,3
2-2-1-submit-74766-crop,,,1.6
2-2-1-submit-75090-crop,,,2.4
3-1-2-submit-00000-crop,,,4.2
3-1-2-submit-73479-crop,,,2.2
3-1-2-submit-73549-crop,,,4
3-1-2-submit-74734-crop,,,2.8
3-1-2-submit-74766-crop,,,1.6
3-1-2-submit-75090-crop,,,2.2
3-2-5-submit-00000-crop,,,4
3-2-5-submit-73479-crop,,,2
3-2-5-submit-73549-crop,,,2.8
3-2-5-submit-74734-crop,,,2.2
3-2-5-submit-74766-crop,,,1.6
3-2-5-submit-75090-crop,,,2.4
4-1-1-submit-00000-crop,,,2.8
4-1-1-submit-73479-crop,,,2
4-1-1-submit-73549-crop,,,3
4-1-1-submit-74734-crop,,,3.2
4-1-1-submit-74766-crop,,,1.6
4-1-1-submit-75090-crop,,,2.2
4-2-2-submit-00000-crop,,,4.2
4-2-2-submit-73479-crop,,,3
4-2-2-submit-73549-crop,,,3.6
4-2-2-submit-74734-crop,,,3
4-2-2-submit-74766-crop,,,1.8
4-2-2-submit-75090-crop,,,2.6
5-1-1-submit-00000-crop,,,3.8
5-1-1-submit-73479-crop,,,3
5-1-1-submit-73549-crop,,,3.6
5-1-1-submit-74734-crop,,,3
5-1-1-submit-74766-crop,,,1.6
5-1-1-submit-75090-crop,,,3
5-2-9-submit-00000-crop,,,4
5-2-9-submit-73479-crop,,,2.2
5-2-9-submit-73549-crop,,,3.2
5-2-9-submit-74734-crop,,,3
5-2-9-submit-74766-crop,,,1.6
5-2-9-submit-75090-crop,,,2.4
6-1-2-submit-00000-crop,,,4.2
6-1-2-submit-73479-crop,,,3.6
6-1-2-submit-73549-crop,,,3.6
6-1-2-submit-74734-crop,,,3.6
6-1-2-submit-74766-crop,,,2.4
6-1-2-submit-75090-crop,,,3.4
6-2-2-submit-00000-crop,,,3.8
6-2-2-submit-73479-crop,,,3
6-2-2-submit-73549-crop,,,3.8
6-2-2-submit-74734-crop,,,3
6-2-2-submit-74766-crop,,,2
6-2-2-submit-75090-crop,,,2.8
7-1-1-submit-00000-crop,,,3.6
7-1-1-submit-73479-crop,,,3.4
7-1-1-submit-73549-crop,,,2.8
7-1-1-submit-74734-crop,,,2.6
7-1-1-submit-74766-crop,,,1.8
7-1-1-submit-75090-crop,,,3.2
7-2-10-submit-00000-crop,,,4
7-2-10-submit-73479-crop,,,2.6
7-2-10-submit-73549-crop,,,2
7-2-10-submit-74734-crop,,,3
7-2-10-submit-74766-crop,,,2
7-2-10-submit-75090-crop,,,3
8-1-1-submit-00000-crop,,,3.8
8-1-1-submit-73479-crop,,,3.2
8-1-1-submit-73549-crop,,,3.8
8-1-1-submit-74734-crop,,,3
8-1-1-submit-74766-crop,,,2.2
8-1-1-submit-75090-crop,,,2.6
8-2-5-submit-00000-crop,,,3.6
8-2-5-submit-73479-crop,,,3
8-2-5-submit-73549-crop,,,4
8-2-5-submit-74734-crop,,,3.6
8-2-5-submit-74766-crop,,,2
8-2-5-submit-75090-crop,,,2.2
9-1-2-submit-00000-crop,,,4.2
9-1-2-submit-73479-crop,,,3.6
9-1-2-submit-73549-crop,,,2.6
9-1-2-submit-74734-crop,,,2.4
9-1-2-submit-74766-crop,,,2.2
9-1-2-submit-75090-crop,,,3.4
9-2-5-submit-00000-crop,,,3.6
9-2-5-submit-73479-crop,,,3
9-2-5-submit-73549-crop,,,2.8
9-2-5-submit-74734-crop,,,3
9-2-5-submit-74766-crop,,,1.6
9-2-5-submit-75090-crop,,,3.4
10-1-1-submit-00000-crop,,,2
10-1-1-submit-73479-crop,,,3
10-1-1-submit-73549-crop,,,3
10-1-1-submit-74734-crop,,,2.4
10-1-1-submit-74766-crop,,,1.4
10-1-1-submit-75090-crop,,,3.4
10-2-6-submit-00000-crop,,,4
10-2-6-submit-73479-crop,,,2.8
10-2-6-submit-73549-crop,,,3.6
10-2-6-submit-74734-crop,,,3.4
10-2-6-submit-74766-crop,,,2.4
10-2-6-submit-75090-crop,,,2.8
12-1-2-submit-00000-crop,,,4
12-1-2-submit-73479-crop,,,2.4
12-1-2-submit-73549-crop,,,2.6
12-1-2-submit-74734-crop,,,2.8
12-1-2-submit-74766-crop,,,2
12-1-2-submit-75090-crop,,,2.6
12-2-1-submit-00000-crop,,,4.2
12-2-1-submit-73479-crop,,,2
12-2-1-submit-73549-crop,,,3.4
12-2-1-submit-74734-crop,,,3
12-2-1-submit-74766-crop,,,1.8
12-2-1-submit-75090-crop,,,2.4
13-1-1-submit-00000-crop,,,4.2
13-1-1-submit-73479-crop,,,2.4
13-1-1-submit-73549-crop,,,2.2
13-1-1-submit-74734-crop,,,3.4
13-1-1-submit-74766-crop,,,2
13-1-1-submit-75090-crop,,,2.4
13-2-2-submit-00000-crop,,,4.2
13-2-2-submit-73479-crop,,,3.2
13-2-2-submit-73549-crop,,,3.2
13-2-2-submit-74734-crop,,,3.2
13-2-2-submit-74766-crop,,,1.6
13-2-2-submit-75090-crop,,,3.4
14-1-1-submit-00000-crop,,,1.6
14-1-1-submit-73479-crop,,,2.4
14-1-1-submit-73549-crop,,,1.4
14-1-1-submit-74734-crop,,,1.6
14-1-1-submit-74766-crop,,,1.4
14-1-1-submit-75090-crop,,,2.2
14-2-2-submit-00000-crop,,,2.4
14-2-2-submit-73479-crop,,,2
14-2-2-submit-73549-crop,,,1.6
14-2-2-submit-74734-crop,,,2.6
14-2-2-submit-74766-crop,,,1.6
14-2-2-submit-75090-crop,,,2.4
15-1-2-submit-00000-crop,,,2.6
15-1-2-submit-73479-crop,,,3.2
15-1-2-submit-73549-crop,,,3.8
15-1-2-submit-74734-crop,,,2.8
15-1-2-submit-74766-crop,,,2
15-1-2-submit-75090-crop,,,2.8
15-2-1-submit-00000-crop,,,2.8
15-2-1-submit-73479-crop,,,3
15-2-1-submit-73549-crop,,,3.8
15-2-1-submit-74734-crop,,,3.2
15-2-1-submit-74766-crop,,,2
15-2-1-submit-75090-crop,,,3.2
16-1-2-submit-00000-crop,,,3.4
16-1-2-submit-73479-crop,,,2.6
16-1-2-submit-73549-crop,,,3.8
16-1-2-submit-74734-crop,,,2.8
16-1-2-submit-74766-crop,,,2
16-1-2-submit-75090-crop,,,2.4
16-2-3-submit-00000-crop,,,3.4
16-2-3-submit-73479-crop,,,2.2
16-2-3-submit-73549-crop,,,2.6
16-2-3-submit-74734-crop,,,2.6
16-2-3-submit-74766-crop,,,2.2
16-2-3-submit-75090-crop,,,1.8
18-1-1-submit-00000-crop,,,2.8
18-1-1-submit-73479-crop,,,3
18-1-1-submit-73549-crop,,,3.6
18-1-1-submit-74734-crop,,,3.2
18-1-1-submit-74766-crop,,,2.8
18-1-1-submit-75090-crop,,,3.2
18-2-2-submit-00000-crop,,,3.8
18-2-2-submit-73479-crop,,,2.4
18-2-2-submit-73549-crop,,,3.4
18-2-2-submit-74734-crop,,,3
18-2-2-submit-74766-crop,,,1.6
18-2-2-submit-75090-crop,,,2.2
19-1-1-submit-00000-crop,,,2.2
19-1-1-submit-73479-crop,,,2.6
19-1-1-submit-73549-crop,,,3.2
19-1-1-submit-74734-crop,,,3
19-1-1-submit-74766-crop,,,1.8
19-1-1-submit-75090-crop,,,2.4
19-2-2-submit-00000-crop,,,2.6
19-2-2-submit-73479-crop,,,3
19-2-2-submit-73549-crop,,,3.4
19-2-2-submit-74734-crop,,,3
19-2-2-submit-74766-crop,,,2
19-2-2-submit-75090-crop,,,3
20-1-2-submit-00000-crop,,,3.6
20-1-2-submit-73479-crop,,,3.2
20-1-2-submit-73549-crop,,,3.8
20-1-2-submit-74734-crop,,,2.8
20-1-2-submit-74766-crop,,,2.2
20-1-2-submit-75090-crop,,,2.4
20-2-1-submit-00000-crop,,,3.6
20-2-1-submit-73479-crop,,,2.8
20-2-1-submit-73549-crop,,,3.2
20-2-1-submit-74734-crop,,,2.6
20-2-1-submit-74766-crop,,,2
20-2-1-submit-75090-crop,,,2.4
21-1-1-submit-00000-crop,,,3.8
21-1-1-submit-73479-crop,,,3
21-1-1-submit-73549-crop,,,3.4
21-1-1-submit-74734-crop,,,3.4
21-1-1-submit-74766-crop,,,2.6
