name,mos
10-1-4-submit-00000-crop,4.2
10-1-4-submit-82495-crop,2.8
10-1-4-submit-82501-crop,3.8
10-1-4-submit-82508-crop,1.8
10-1-4-submit-82511-crop,4
10-1-4-submit-82882-crop,3.8
10-1-4-submit-82910-crop,3.6
10-1-4-submit-82999-crop,3.2
10-1-4-submit-83063-crop,2.6
10-1-4-submit-83485-crop,1.8
10-1-4-submit-83496-crop,3
10-1-4-submit-83609-crop,3
10-1-4-submit-83619-crop,3.6
10-2-3-submit-00000-crop,3.8
10-2-3-submit-82495-crop,3.6
10-2-3-submit-82501-crop,3.8
10-2-3-submit-82508-crop,2
10-2-3-submit-82511-crop,4.2
10-2-3-submit-82882-crop,4
10-2-3-submit-82910-crop,4
10-2-3-submit-82999-crop,3.4
10-2-3-submit-83063-crop,3.2
10-2-3-submit-83485-crop,1.8
10-2-3-submit-83496-crop,3.8
10-2-3-submit-83609-crop,3.4
10-2-3-submit-83619-crop,3.4
1-1-4-submit-00000-crop,4.6
1-1-4-submit-82495-crop,2.4
1-1-4-submit-82501-crop,2.8
1-1-4-submit-82508-crop,1.6
1-1-4-submit-82511-crop,3.8
1-1-4-submit-82882-crop,4.2
1-1-4-submit-82910-crop,3.8
1-1-4-submit-82999-crop,1.8
1-1-4-submit-83063-crop,1.8
1-1-4-submit-83485-crop,1.6
1-1-4-submit-83496-crop,2.2
1-1-4-submit-83609-crop,2.4
1-1-4-submit-83619-crop,3.2
12-1-9-submit-00000-crop,4
12-1-9-submit-82495-crop,3.2
12-1-9-submit-82501-crop,3.2
12-1-9-submit-82508-crop,2.2
12-1-9-submit-82511-crop,4
12-1-9-submit-82882-crop,4
12-1-9-submit-82910-crop,3.4
12-1-9-submit-82999-crop,2.6
12-1-9-submit-83063-crop,2.8
12-1-9-submit-83485-crop,2
12-1-9-submit-83496-crop,2.8
12-1-9-submit-83609-crop,3.2
12-1-9-submit-83619-crop,4
12-2-4-submit-00000-crop,4
12-2-4-submit-82495-crop,3.4
12-2-4-submit-82501-crop,3.6
12-2-4-submit-82508-crop,1.8
12-2-4-submit-82511-crop,4
12-2-4-submit-82882-crop,4.2
12-2-4-submit-82910-crop,3.6
12-2-4-submit-82999-crop,2.8
12-2-4-submit-83063-crop,3.6
12-2-4-submit-83485-crop,1.8
12-2-4-submit-83496-crop,3.2
12-2-4-submit-83609-crop,3.4
12-2-4-submit-83619-crop,3.8
1-2-3-submit-00000-crop,4.4
1-2-3-submit-82495-crop,2
1-2-3-submit-82501-crop,4.2
1-2-3-submit-82508-crop,1.6
1-2-3-submit-82511-crop,4.2
1-2-3-submit-82882-crop,4.2
1-2-3-submit-82910-crop,3.6
1-2-3-submit-82999-crop,2.6
1-2-3-submit-83063-crop,2.2
1-2-3-submit-83485-crop,1.8
1-2-3-submit-83496-crop,2
1-2-3-submit-83609-crop,3.2
1-2-3-submit-83619-crop,3.6
13-1-3-submit-00000-crop,4.2
13-1-3-submit-82495-crop,3.2
13-1-3-submit-82501-crop,3.6
13-1-3-submit-82508-crop,1.6
13-1-3-submit-82511-crop,3.6
13-1-3-submit-82882-crop,4
13-1-3-submit-82910-crop,3.8
13-1-3-submit-82999-crop,3.2
13-1-3-submit-83063-crop,2.4
13-1-3-submit-83485-crop,1.6
13-1-3-submit-83496-crop,2.8
13-1-3-submit-83609-crop,3.4
13-1-3-submit-83619-crop,3.8
13-2-4-submit-00000-crop,4
13-2-4-submit-82495-crop,3.2
13-2-4-submit-82501-crop,4.2
13-2-4-submit-82508-crop,2.2
13-2-4-submit-82511-crop,4.2
13-2-4-submit-82882-crop,4.2
13-2-4-submit-82910-crop,4.2
13-2-4-submit-82999-crop,3
13-2-4-submit-83063-crop,2.2
13-2-4-submit-83485-crop,1.4
13-2-4-submit-83496-crop,3.4
13-2-4-submit-83609-crop,3.4
13-2-4-submit-83619-crop,3.6
14-1-2-submit-00000-crop,3.8
14-1-2-submit-82495-crop,3.4
14-1-2-submit-82501-crop,3.8
14-1-2-submit-82508-crop,1.6
14-1-2-submit-82511-crop,3.6
14-1-2-submit-82882-crop,4
14-1-2-submit-82910-crop,3.6
14-1-2-submit-82999-crop,2.6
14-1-2-submit-83063-crop,3.4
14-1-2-submit-83485-crop,1.6
14-1-2-submit-83496-crop,3.6
14-1-2-submit-83609-crop,3.6
14-1-2-submit-83619-crop,3.8
14-2-4-submit-00000-crop,3.4
14-2-4-submit-82495-crop,3.6
14-2-4-submit-82501-crop,4.2
14-2-4-submit-82508-crop,1.6
14-2-4-submit-82511-crop,3.4
14-2-4-submit-82882-crop,3.6
14-2-4-submit-82910-crop,3.4
14-2-4-submit-82999-crop,2.6
14-2-4-submit-83063-crop,3
14-2-4-submit-83485-crop,1.4
14-2-4-submit-83496-crop,3.4
14-2-4-submit-83609-crop,3.4
14-2-4-submit-83619-crop,3.4
15-1-4-submit-00000-crop,3.2
15-1-4-submit-82495-crop,3.6
15-1-4-submit-82501-crop,4.2
15-1-4-submit-82508-crop,2.2
15-1-4-submit-82511-crop,3.6
15-1-4-submit-82882-crop,3.6
15-1-4-submit-82910-crop,4
15-1-4-submit-82999-crop,3.2
15-1-4-submit-83063-crop,3.6
15-1-4-submit-83485-crop,2
15-1-4-submit-83496-crop,3.6
15-1-4-submit-83609-crop,3.8
15-1-4-submit-83619-crop,3.8
15-2-3-submit-00000-crop,3.6
15-2-3-submit-82495-crop,3
15-2-3-submit-82501-crop,4.4
15-2-3-submit-82508-crop,1.8
15-2-3-submit-82511-crop,3.8
15-2-3-submit-82882-crop,3.8
15-2-3-submit-82910-crop,3.6
15-2-3-submit-82999-crop,3.2
15-2-3-submit-83063-crop,2.6
15-2-3-submit-83485-crop,2
15-2-3-submit-83496-crop,3.4
15-2-3-submit-83609-crop,3.4
15-2-3-submit-83619-crop,3.6
16-1-4-submit-00000-crop,3.6
16-1-4-submit-82495-crop,3
16-1-4-submit-82501-crop,4
16-1-4-submit-82508-crop,1.8
16-1-4-submit-82511-crop,3.6
16-1-4-submit-82882-crop,3.6
16-1-4-submit-82910-crop,3.4
16-1-4-submit-82999-crop,2.6
16-1-4-submit-83063-crop,3.2
16-1-4-submit-83485-crop,2
16-1-4-submit-83496-crop,3.2
16-1-4-submit-83609-crop,3.4
16-1-4-submit-83619-crop,3.8
16-2-5-submit-00000-crop,3.8
16-2-5-submit-82495-crop,2.6
16-2-5-submit-82501-crop,3.4
16-2-5-submit-82508-crop,1.8
16-2-5-submit-82511-crop,3.6
16-2-5-submit-82882-crop,3.2
16-2-5-submit-82910-crop,3.4
16-2-5-submit-82999-crop,2.6
16-2-5-submit-83063-crop,3
16-2-5-submit-83485-crop,2.2
16-2-5-submit-83496-crop,3
16-2-5-submit-83609-crop,3
16-2-5-submit-83619-crop,3.2
18-1-3-submit-00000-crop,3.8
18-1-3-submit-82495-crop,3
18-1-3-submit-82501-crop,4.2
18-1-3-submit-82508-crop,1.6
18-1-3-submit-82511-crop,3.6
18-1-3-submit-82882-crop,4
18-1-3-submit-82910-crop,4
18-1-3-submit-82999-crop,3.2
18-1-3-submit-83063-crop,2.2
18-1-3-submit-83485-crop,2.4
18-1-3-submit-83496-crop,2.6
18-1-3-submit-83609-crop,2.8
18-1-3-submit-83619-crop,3.2
18-2-4-submit-00000-crop,4.2
18-2-4-submit-82495-crop,3.6
18-2-4-submit-82501-crop,4
18-2-4-submit-82508-crop,1.6
18-2-4-submit-82511-crop,4.2
18-2-4-submit-82882-crop,4.2
18-2-4-submit-82910-crop,3.4
