,name,width,height,framerate,mos
0,10-1-4-submit-00000-crop,546,546,30.0,4.2
1,10-1-4-submit-82495-crop,546,546,30.0,2.8
2,10-1-4-submit-82501-crop,546,546,30.0,3.8
3,10-1-4-submit-82508-crop,546,546,30.0,1.8
4,10-1-4-submit-82511-crop,546,546,30.0,4.0
5,10-1-4-submit-82882-crop,546,546,30.0,3.8
6,10-1-4-submit-82910-crop,546,546,30.0,3.6
7,10-1-4-submit-82999-crop,546,546,30.0,3.2
8,10-1-4-submit-83063-crop,546,546,30.0,2.6
9,10-1-4-submit-83485-crop,546,546,30.0,1.8
10,10-1-4-submit-83496-crop,546,546,30.0,3.0
11,10-1-4-submit-83609-crop,546,546,30.0,3.0
12,10-1-4-submit-83619-crop,182,186,24.0,3.6
13,10-2-3-submit-00000-crop,518,518,30.0,3.8
14,10-2-3-submit-82495-crop,518,518,30.0,3.6
15,10-2-3-submit-82501-crop,518,518,30.0,3.8
16,10-2-3-submit-82508-crop,518,518,30.0,2.0
17,10-2-3-submit-82511-crop,518,518,30.0,4.2
18,10-2-3-submit-82882-crop,518,518,30.0,4.0
19,10-2-3-submit-82910-crop,518,518,30.0,4.0
20,10-2-3-submit-82999-crop,518,518,30.0,3.4
21,10-2-3-submit-83063-crop,518,518,30.0,3.2
22,10-2-3-submit-83485-crop,518,518,30.0,1.8
23,10-2-3-submit-83496-crop,518,518,30.0,3.8
24,10-2-3-submit-83609-crop,518,518,30.0,3.4
25,10-2-3-submit-83619-crop,172,176,24.0,3.4
26,1-1-4-submit-00000-crop,628,628,30.0,4.6
27,1-1-4-submit-82495-crop,628,628,30.0,2.4
28,1-1-4-submit-82501-crop,628,628,30.0,2.8
29,1-1-4-submit-82508-crop,628,628,30.0,1.6
30,1-1-4-submit-82511-crop,628,628,30.0,3.8
31,1-1-4-submit-82882-crop,628,628,30.0,4.2
32,1-1-4-submit-82910-crop,628,628,30.0,3.8
33,1-1-4-submit-82999-crop,628,628,30.0,1.8
34,1-1-4-submit-83063-crop,628,628,30.0,1.8
35,1-1-4-submit-83485-crop,628,628,30.0,1.6
36,1-1-4-submit-83496-crop,628,628,30.0,2.2
37,1-1-4-submit-83609-crop,628,628,30.0,2.4
38,1-1-4-submit-83619-crop,208,214,24.0,3.2
39,12-1-9-submit-00000-crop,704,704,30.0,4.0
40,12-1-9-submit-82495-crop,704,704,30.0,3.2
41,12-1-9-submit-82501-crop,704,704,30.0,3.2
42,12-1-9-submit-82508-crop,704,704,30.0,2.2
43,12-1-9-submit-82511-crop,704,704,30.0,4.0
44,12-1-9-submit-82882-crop,704,704,30.0,4.0
45,12-1-9-submit-82910-crop,704,704,30.0,3.4
46,12-1-9-submit-82999-crop,704,704,30.0,2.6
47,12-1-9-submit-83063-crop,704,704,30.0,2.8
48,12-1-9-submit-83485-crop,704,704,30.0,2.0
49,12-1-9-submit-83496-crop,704,704,30.0,2.8
50,12-1-9-submit-83609-crop,704,704,30.0,3.2
51,12-1-9-submit-83619-crop,234,240,24.0,4.0
52,12-2-4-submit-00000-crop,574,574,30.0,4.0
53,12-2-4-submit-82495-crop,574,574,30.0,3.4
54,12-2-4-submit-82501-crop,574,574,30.0,3.6
55,12-2-4-submit-82508-crop,574,574,30.0,1.8
56,12-2-4-submit-82511-crop,574,574,30.0,4.0
57,12-2-4-submit-82882-crop,574,574,30.0,4.2
58,12-2-4-submit-82910-crop,574,574,30.0,3.6
59,12-2-4-submit-82999-crop,574,574,30.0,2.8
60,12-2-4-submit-83063-crop,574,574,30.0,3.6
61,12-2-4-submit-83485-crop,574,574,30.0,1.8
62,12-2-4-submit-83496-crop,574,574,30.0,3.2
63,12-2-4-submit-83609-crop,574,574,30.0,3.4
