,Unnamed: 0,name,width,height,framerate,mos
0,0,10-1-4-submit-00000-crop,546,546,30.0,3.845
1,1,10-1-4-submit-82495-crop,546,546,30.0,3.0900000000000003
2,2,10-1-4-submit-82501-crop,546,546,30.0,3.8950000000000005
3,3,10-1-4-submit-82508-crop,546,546,30.0,1.7950000000000004
4,4,10-1-4-submit-82511-crop,546,546,30.0,3.7199999999999998
5,5,10-1-4-submit-82882-crop,546,546,30.0,3.91
6,6,10-1-4-submit-82910-crop,546,546,30.0,3.65
7,7,10-1-4-submit-82999-crop,546,546,30.0,2.755
8,8,10-1-4-submit-83063-crop,546,546,30.0,2.63
9,9,10-1-4-submit-83485-crop,546,546,30.0,1.775
10,10,10-1-4-submit-83496-crop,546,546,30.0,2.9299999999999997
11,11,10-1-4-submit-83609-crop,546,546,30.0,3.2150000000000007
12,12,10-1-4-submit-83619-crop,182,186,24.0,3.4450000000000003
13,13,10-2-3-submit-00000-crop,518,518,30.0,3.845
14,14,10-2-3-submit-82495-crop,518,518,30.0,3.0900000000000003
15,15,10-2-3-submit-82501-crop,518,518,30.0,3.8950000000000005
16,16,10-2-3-submit-82508-crop,518,518,30.0,1.7950000000000004
17,17,10-2-3-submit-82511-crop,518,518,30.0,3.7199999999999998
18,18,10-2-3-submit-82882-crop,518,518,30.0,3.91
19,19,10-2-3-submit-82910-crop,518,518,30.0,3.65
20,20,10-2-3-submit-82999-crop,518,518,30.0,2.755
21,21,10-2-3-submit-83063-crop,518,518,30.0,2.63
22,22,10-2-3-submit-83485-crop,518,518,30.0,1.775
23,23,10-2-3-submit-83496-crop,518,518,30.0,2.9299999999999997
24,24,10-2-3-submit-83609-crop,518,518,30.0,3.2150000000000007
25,25,10-2-3-submit-83619-crop,172,176,24.0,3.4450000000000003
26,26,1-1-4-submit-00000-crop,628,628,30.0,3.845
27,27,1-1-4-submit-82495-crop,628,628,30.0,3.0900000000000003
28,28,1-1-4-submit-82501-crop,628,628,30.0,3.8950000000000005
29,29,1-1-4-submit-82508-crop,628,628,30.0,1.7950000000000004
30,30,1-1-4-submit-82511-crop,628,628,30.0,3.7199999999999998
31,31,1-1-4-submit-82882-crop,628,628,30.0,3.91
32,32,1-1-4-submit-82910-crop,628,628,30.0,3.65
33,33,1-1-4-submit-82999-crop,628,628,30.0,2.755
34,34,1-1-4-submit-83063-crop,628,628,30.0,2.63
35,35,1-1-4-submit-83485-crop,628,628,30.0,1.775
36,36,1-1-4-submit-83496-crop,628,628,30.0,2.9299999999999997
37,37,1-1-4-submit-83609-crop,628,628,30.0,3.2150000000000007
38,38,1-1-4-submit-83619-crop,208,214,24.0,3.4450000000000003
39,39,12-1-9-submit-00000-crop,704,704,30.0,3.845
40,40,12-1-9-submit-82495-crop,704,704,30.0,3.0900000000000003
41,41,12-1-9-submit-82501-crop,704,704,30.0,3.8950000000000005
42,42,12-1-9-submit-82508-crop,704,704,30.0,1.7950000000000004
43,43,12-1-9-submit-82511-crop,704,704,30.0,3.7199999999999998
44,44,12-1-9-submit-82882-crop,704,704,30.0,3.91
45,45,12-1-9-submit-82910-crop,704,704,30.0,3.65
46,46,12-1-9-submit-82999-crop,704,704,30.0,2.755
47,47,12-1-9-submit-83063-crop,704,704,30.0,2.63
48,48,12-1-9-submit-83485-crop,704,704,30.0,1.775
49,49,12-1-9-submit-83496-crop,704,704,30.0,2.9299999999999997
50,50,12-1-9-submit-83609-crop,704,704,30.0,3.2150000000000007
51,51,12-1-9-submit-83619-crop,234,240,24.0,3.4450000000000003
52,52,12-2-4-submit-00000-crop,574,574,30.0,3.845
53,53,12-2-4-submit-82495-crop,574,574,30.0,3.0900000000000003
54,54,12-2-4-submit-82501-crop,574,574,30.0,3.8950000000000005
55,55,12-2-4-submit-82508-crop,574,574,30.0,1.7950000000000004
56,56,12-2-4-submit-82511-crop,574,574,30.0,3.7199999999999998
57,57,12-2-4-submit-82882-crop,574,574,30.0,3.91
58,58,12-2-4-submit-82910-crop,574,574,30.0,3.65
59,59,12-2-4-submit-82999-crop,574,574,30.0,2.755
60,60,12-2-4-submit-83063-crop,574,574,30.0,2.63
61,61,12-2-4-submit-83485-crop,574,574,30.0,1.775
62,62,12-2-4-submit-83496-crop,574,574,30.0,2.9299999999999997
63,63,12-2-4-submit-83609-crop,574,574,30.0,3.2150000000000007
64,64,12-2-4-submit-83619-crop,190,194,24.0,3.4450000000000003
65,65,1-2-3-submit-00000-crop,494,494,30.0,3.845
66,66,1-2-3-submit-82495-crop,494,494,30.0,3.0900000000000003
67,67,1-2-3-submit-82501-crop,494,494,30.0,3.8950000000000005
68,68,1-2-3-submit-82508-crop,494,494,30.0,1.7950000000000004
69,69,1-2-3-submit-82511-crop,494,494,30.0,3.7199999999999998
70,70,1-2-3-submit-82882-crop,494,494,30.0,3.91
71,71,1-2-3-submit-82910-crop,494,494,30.0,3.65
72,72,1-2-3-submit-82999-crop,494,494,30.0,2.755
73,73,1-2-3-submit-83063-crop,494,494,30.0,2.63
74,74,1-2-3-submit-83485-crop,494,494,30.0,1.775
75,75,1-2-3-submit-83496-crop,494,494,30.0,2.9299999999999997
76,76,1-2-3-submit-83609-crop,494,494,30.0,3.2150000000000007
77,77,1-2-3-submit-83619-crop,164,168,24.0,3.4450000000000003
78,78,13-1-3-submit-00000-crop,568,568,30.0,3.845
79,79,13-1-3-submit-82495-crop,568,568,30.0,3.0900000000000003
80,80,13-1-3-submit-82501-crop,568,568,30.0,3.8950000000000005
81,81,13-1-3-submit-82508-crop,568,568,30.0,1.7950000000000004
82,82,13-1-3-submit-82511-crop,568,568,30.0,3.7199999999999998
83,83,13-1-3-submit-82882-crop,568,568,30.0,3.91
84,84,13-1-3-submit-82910-crop,568,568,30.0,3.65
85,85,13-1-3-submit-82999-crop,568,568,30.0,2.755
86,86,13-1-3-submit-83063-crop,568,568,30.0,2.63
87,87,13-1-3-submit-83485-crop,568,568,30.0,1.775
88,88,13-1-3-submit-83496-crop,568,568,30.0,2.9299999999999997
89,89,13-1-3-submit-83609-crop,568,568,30.0,3.2150000000000007
90,90,13-1-3-submit-83619-crop,188,194,24.0,3.4450000000000003
91,91,13-2-4-submit-00000-crop,560,560,120.0,3.845
92,92,13-2-4-submit-82495-crop,560,560,120.0,3.0900000000000003
93,93,13-2-4-submit-82501-crop,560,560,120.0,3.8950000000000005
94,94,13-2-4-submit-82508-crop,560,560,120.0,1.7950000000000004
95,95,13-2-4-submit-82511-crop,560,560,120.0,3.7199999999999998
96,96,13-2-4-submit-82882-crop,560,560,120.0,3.91
97,97,13-2-4-submit-82910-crop,560,560,120.0,3.65
98,98,13-2-4-submit-82999-crop,560,560,120.0,2.755
99,99,13-2-4-submit-83063-crop,560,560,30.0,2.63
100,100,13-2-4-submit-83485-crop,560,560,120.0,1.775
101,101,13-2-4-submit-83496-crop,560,560,120.0,2.9299999999999997
102,102,13-2-4-submit-83609-crop,560,560,120.0,3.2150000000000007
